experiment,scenario,bandwidth_mb_s,beta,compression_ratio,method,repeat,total_cost,total_latency,total_energy
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,15,15.16485788576804,8.35324244443679,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,16,15.105015982225183,8.293400540893932,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,17,15.466396091228354,8.654780649897107,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,18,15.91637114062518,9.104755699293932,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,19,15.468674812345817,8.657059371014567,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,20,15.187868323558515,8.376252882227266,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,21,15.674894589260104,8.863279147928854,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,22,15.351124417006133,8.539508975674885,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,23,15.611803787545817,8.800188346214567,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,24,15.505093746717247,8.693478305385998,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,25,15.870173294314073,9.05855785298282,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,26,15.62286324325058,8.811247801919329,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,27,15.369997349425182,8.558381908093931,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,28,15.85562838720296,9.04401294587171,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,MinCut+RMatch,29,15.62286324325058,8.811247801919329,6.81161544133125
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,0,101.31323890565844,34.979407358839715,66.33383154681873
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,1,62.354435300762205,27.61747763745595,34.73695766330626
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,2,81.60589675415449,31.08374536683261,50.52215138732187
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,3,78.10573618965299,30.027525505315477,48.078210684337506
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,4,96.51655720654965,33.80802732853092,62.70852987801873
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,5,92.97590668341527,32.50640719356533,60.46949948984994
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,6,64.4334011653685,29.21474275330599,35.2186584120625
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,7,55.35638713314502,21.599794061388774,33.75659307175625
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,8,72.13954163908855,26.171979669444816,45.96756196964374
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,9,83.6037752925912,29.57508523755371,54.02869005503748
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,10,56.46361613912089,23.07142086367714,33.39219527544375
bandwidth_sensitivity,mixed5,0.2,1.0,4.0,Rpartition+RMatch,11,77.54621714868617,30.22753904454867,47.3186781041375
